,,
,Continuity,Length and completeness of the daily coordinate series
,,
,,
,Repeatability,"Scatter of the North, East and Up residuals"
,,
,,
,Discontinuities,Offsets or anomalous intervals affecting the fitted trend
,,
,,
,Velocity reliability,Magnitude and uncertainty of the estimated trend
,,
,,
,Regional consistency,Agreement with neighbouring stations and the Eurasia-relative field
,,
